Пор.No,Арт.No,Име,Прод.цена
211,5177,Pikantna Deroni 320g,1.42
212,5178,Carica Lutenica Domashna Edrosmlqna 260gr,1.7
213,5179,Tradicionna Deroni 520g,2.08
214,5180,Deroni Pikantna Lutenica 520 gr,1.98
215,5181,Olineza Tradicionna Fino smlqna 1.060kg,3.98
216,5182,Lutivka Olineza 265g,1.15
217,5183,Olineza Domashna Edrosmlqna 260gr,1.4
218,5184,Lutivka Olineza 130g,0.75
219,5185,Kiopoolu Olineza 510g,2.52
220,5186,Olineza Babina Edrosmlqna 250gr,1.54
221,5187,Apetitka Olineza 250g,1.15
222,5188,Olineza Domashna Edrosmlqna 515gr,2.52
223,5189,Domashna edrosmlqna  Olineza 1.030g,4.23
224,5190,Olineza lutenica Babina Edrosmlqna 515gr,2.28
225,5191,Kiopoolu Olineza 250g,1.48
226,5192,Olineza Tradicionna Finosmlqna 520 gr,2.34
227,5193,Gorchica Olineza 130g,0.47
228,5194,Lutenica Parvomai 560gr,2.15
229,5195,Pikantna lutenica Petel 270g,0.85
230,5196,Parvomai Domashna lutenica 540gr,2.99
231,5197,Tradiciona  lutenica Petel 575g,1.65
232,5198,Tradiciona lutenica  Petel 270g,0.79
233,5199,Parvomai Domashna Lutenica 290gr,2.1
234,5200,Domashna lutenica Petel 270g,0.79
235,5201,Parvomai Lutenica 310gr,1.22
236,5202,Domashna lutenica Petel 575g,1.65
237,5203,Horceto Finosmlqna 300gr,1.15
238,5204,Domashna edrosmlqna lutenica Petel 270g,0.9
239,5205,Horceto Parvomaisko horo 245gr lutenica,0.9
240,5206,Horceto lutenica 560g,1.6
241,5207,Domashno edrosmlqna lutenica Horceto 560g,1.8
242,5208,Todorka Domashna edrosmlqna lutenica  570gr,2.55
243,5209,Todorka Domashnla lutenica 575gr,1.75
244,5210,Todorka Tradicionna lutenica 575gr,1.82
245,5211,Todorka Edrosmlqna lutenica 310gr,1.36
246,5212,Todorka Domashna lutenica 310gr,1.37
247,5213,Todorka Tradiciona lutenica 310gr,1.16
248,5214,Gorchica za Sandvichi Olineza 500gr,1.07
249,5215,Maioneza za Sandvichi Olineza 470gr,1.14
250,5216,Ketchyp Petel 500gr,0.86
251,5217,Deroni Soev Sos Svetyl 250ml,1.07
252,5218,Deroni Soev Sos Klasic 250ml,1.02
253,5219,Chili sos deroni 290g,0.92
254,5220,La-Chao Chili sos 230g,0.69
